=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.24 14:32:26 =~=~=~=~=~=~=~=~=~=~=~=
DISP allocated
Done WiFi
done CLOUD
Check corruption......clean
 No diffs in retained...

End setup()

FAILED init ADS SHUNT MON Amp
FAILED init ADS SHUNT MON No Amp
DS18 1-wire Tb started
CH dv_min_abs=  0.060, cap=10000.0
Vb sense ADC pin started
CH dv_min_abs=  0.060, cap=10000.0
read temp=  0.0000
Sel chg:  Amp->bare 1 NoAmp->bare 1 ib_diff_fa 0 wh_fa 0 wl_fa 0 wv_fa 0 cc_diff_fa_ 99
 sp.ib_select() 0 ib_sel_stat 0 vb_sel_stat 1 tb_sel_stat 1 vb_fail 0 Tb_fail 0
  fake 0 ibss 0 ibssl 1 vbss 1 vbssl 1 tbss 1  tbssl 1 latched_fail 1 latched_fail_fake 0
  preserving 1
Small reset
read =  0.0690
read chat =  0.0000
soft reset...
read temp=  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0030
read chat =  0.0000
read =  0.0030
read chat =  0.0000
read =  0.0030
read chat =  0.0000
read =  0.0030
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read temp=  0.0000
read =  0.0020
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0030
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read temp=  0.0000
read =  0.0020
read chat =  0.0000
read =  0.0000
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0000
read chat =  0.0000
read =  0.0010
read chat =  0.0000
read =  0.0000
